threshold,tp,tn,fp,fn,accuracy,precision,recall,f1,cost_fp1_fn5,cost_fp1_fn10,cost_fp1_fn20
0.8400000000000001,405,282532,721,68,0.997219148051289,0.35968028419182946,0.8562367864693446,0.5065666041275797,1061,1401,2081
0.85,403,282632,621,70,0.9975645517153874,0.3935546875,0.8520084566596194,0.5384101536406145,971,1321,2021
0.86,403,282723,530,70,0.997885283689193,0.43193997856377275,0.8520084566596194,0.5732574679943101,880,1230,1930
0.87,403,282787,466,70,0.9981108534290125,0.46375143843498273,0.8520084566596194,0.6005961251862891,816,1166,1866
0.88,400,282820,433,73,0.9982165892445528,0.4801920768307323,0.8456659619450317,0.6125574272588055,798,1163,1893
0.89,400,282868,385,73,0.9983857665494174,0.5095541401273885,0.8456659619450317,0.6359300476947536,750,1115,1845
0.9,400,282895,358,73,0.9984809287834037,0.5277044854881267,0.8456659619450317,0.6498781478472786,723,1088,1818
0.91,397,282920,333,76,0.9985584683814667,0.5438356164383562,0.8393234672304439,0.6600166251039069,713,1093,1853
0.92,392,282939,314,81,0.9986078117620522,0.5552407932011332,0.828752642706131,0.6649703138252756,719,1124,1934
0.93,388,282965,288,85,0.998685351360115,0.5739644970414202,0.8202959830866807,0.6753698868581375,713,1138,1988
0.9400000000000001,388,282992,261,85,0.9987805135941014,0.5978428351309707,0.8202959830866807,0.6916221033868093,686,1111,1961
0.9500000000000001,385,283019,234,88,0.9988651022465336,0.6219709208400647,0.813953488372093,0.7051282051282052,674,1114,1994
